run_id,group,algorithm,np,threads,nodes,ppn,total_cores,nlist,nprobe,k,test_queries,partition,cache_hit,recall,latency_us,bcast_us,search_avg_us,search_max_us,gather_us,merge_us,candidate_count_avg,work_min,work_avg,work_max,imbalance_ratio,batch_time_ms,qps
45383.master_ubss1,IVF-D,ivf-mpi-3-3,8,1,1,8,8,512,64,10,2000,block-id,1,0.990550,166.253090,4.203558,102.032751,108.682990,18.926144,1.424193,15384.605000,12500,12500.000000,12500,1.000000,335.871458,5954.658998
45384.master_ubss1,IVF-D,ivf-mpi-3-3,8,1,1,8,8,512,64,10,2000,block-id,1,0.990550,175.274372,3.532410,106.933102,122.158647,36.139727,1.352906,15384.605000,12500,12500.000000,12500,1.000000,353.725195,5654.106715
45385.master_ubss1,IVF-D,ivf-mpi-3-3,8,1,2,4,8,512,64,10,2000,block-id,1,0.990550,293.871045,15.906692,101.153523,112.234354,125.979424,1.604557,15384.605000,12500,12500.000000,12500,1.000000,591.491938,3381.280239
45386.master_ubss1,IVF-D,ivf-mpi-3-3,8,1,2,4,8,512,64,10,2000,block-id,1,0.990550,319.496632,16.657948,106.557205,129.567742,150.167227,1.528621,15384.605000,12500,12500.000000,12500,1.000000,642.660379,3112.063641
45387.master_ubss1,IVF-D,ivf-mpi-3-3,8,1,2,4,8,512,64,10,2000,block-id,1,0.990550,351.161480,19.160032,108.600512,130.698681,173.487902,1.646280,15384.605000,12500,12500.000000,12500,1.000000,706.139565,2832.301291
45388.master_ubss1,IVF-D,ivf-mpi-3-3,8,1,4,2,8,512,64,10,2000,block-id,1,0.990550,430.269122,53.047061,102.554023,110.958338,224.831700,2.143979,15384.605000,12500,12500.000000,12500,1.000000,865.349054,2311.206085
45389.master_ubss1,IVF-D,ivf-mpi-3-3,8,1,4,2,8,512,64,10,2000,block-id,1,0.990550,486.741781,52.984238,105.843455,125.108838,243.563652,2.208352,15384.605000,12500,12500.000000,12500,1.000000,978.554010,2043.832000
45390.master_ubss1,IVF-D,ivf-mpi-3-3,8,1,4,2,8,512,64,10,2000,block-id,1,0.990550,444.780469,69.700003,102.714702,113.260388,200.267792,2.348781,15384.605000,12500,12500.000000,12500,1.000000,896.790266,2230.175857
45391.master_ubss1,IVF-E,ivf-mpi-3-3,16,1,2,8,16,512,64,10,2000,block-id,1,0.990550,303.448319,14.536381,57.286255,77.772021,170.647860,2.091289,15384.605000,6250,6250.000000,6250,1.000000,610.538483,3275.796787
45392.master_ubss1,IVF-E,ivf-mpi-3-3,16,1,2,8,16,512,64,10,2000,block-id,1,0.990550,280.957341,19.913435,53.913645,77.022791,117.981195,2.322793,15384.605000,6250,6250.000000,6250,1.000000,566.275358,3531.850664
45393.master_ubss1,IVF-E,ivf-mpi-3-3,16,1,2,8,16,512,64,10,2000,block-id,1,0.990550,265.891075,15.390158,57.179980,81.421852,139.581442,2.135038,15384.605000,6250,6250.000000,6250,1.000000,535.397291,3735.543741
45394.master_ubss1,IVF-E,ivf-mpi-3-3,8,2,2,8,16,512,64,10,2000,block-id,1,0.990550,1621.944189,3.643036,679.705709,727.875710,249.550939,1.583695,15384.605000,12500,12500.000000,12500,1.000000,3248.100281,615.744536
