ivf_mpi_omp_results.csv

run_id,algorithm,np,threads,nodes,ppn,total_cores,nlist,nprobe,k,test_queries,partition,cache_hit,recall,latency_us,bcast_us,search_avg_us,search_max_us,gather_us,merge_us,candidate_count_avg,work_min,work_avg,work_max,imbalance_ratio,batch_time_ms,qps
45313.master_ubss1,ivf-mpi-omp,8,2,2,8,16,512,32,10,2000,block,1,0.971350,1338.860631,2.605796,708.690360,923.219800,29.019356,1.680374,8724.534500,12500,12500.000000,12500,1.000000,2682.266474,745.638071

45314.master_ubss1,ivf-mpi-omp,8,2,2,8,16,512,32,10,2000,block,1,0.971350,1348.138571,2.944708,702.088997,922.668219,17.272592,1.688480,8724.534500,12500,12500.000000,12500,1.000000,2701.118946,740.433887

45315.master_ubss1,ivf-mpi-omp,8,2,2,8,16,512,64,10,2000,block,1,0.990550,1428.877354,3.485918,729.386389,914.999127,78.433752,1.510739,15384.605000,12500,12500.000000,12500,1.000000,2861.681700,698.889747

45316.master_ubss1,ivf-mpi-omp,8,2,2,8,16,512,64,10,2000,block,1,0.990550,1399.399161,3.028631,733.551189,939.008713,44.273973,1.487136,15384.605000,12500,12500.000000,12500,1.000000,2802.631855,713.614953

45317.master_ubss1,ivf-mpi-omp,8,2,2,8,16,512,64,10,2000,block,1,0.990550,1654.848576,4.001260,696.120858,754.016757,275.559664,1.534820,15384.605000,12500,12500.000000,12500,1.000000,3313.565969,603.579352

45318.master_ubss1,ivf-mpi-omp,8,2,2,8,16,512,64,10,2000,block,1,0.990550,1411.262870,5.046844,747.686535,970.949173,19.690514,1.505017,15384.605000,12500,12500.000000,12500,1.000000,2827.223539,707.407806
