run_id,group,algorithm,np,threads,nodes,ppn,total_cores,M,efConstruction,efSearch,k,test_queries,partition,cache_hit,recall,latency_us,bcast_us,search_avg_us,search_max_us,gather_us,merge_us,candidate_count_avg,work_min,work_avg,work_max,imbalance_ratio,build_avg_ms,build_max_ms,batch_time_ms,qps
45508.master_ubss1,HNSW-D,hnsw-shard-mpi,4,1,1,4,4,16,150,100,10,2000,random-hash,1,0.998650,246.165156,0.981331,221.994609,237.292409,10.010600,1.148462,40.000000,24859,25000.000000,25209,1.008360,30.656874,31.755209,496.422052,4028.829885
45509.master_ubss1,HNSW-D,hnsw-shard-mpi,4,1,1,4,4,16,150,100,10,2000,random-hash,1,0.998650,241.520286,1.135945,222.727954,232.168198,15.158653,1.287937,40.000000,24859,25000.000000,25209,1.008360,31.444609,31.976223,487.247944,4104.686382
45510.master_ubss1,HNSW-E,hnsw-shard-mpi,4,1,1,4,4,8,100,100,10,2000,block-id,0,0.991750,160.946727,0.976920,145.237952,153.155565,10.294914,1.110435,40.000000,25000,25000.000000,25000,1.000000,3286.097884,3368.421555,325.633764,6141.869239
45511.master_ubss1,HNSW-E,hnsw-shard-mpi,4,1,1,4,4,8,100,100,10,2000,block-id,1,0.991750,170.443892,1.111984,150.867462,162.803531,16.985297,1.147032,40.000000,25000,25000.000000,25000,1.000000,32.955527,34.301281,344.664812,5802.739154
45512.master_ubss1,HNSW-E,hnsw-shard-mpi,4,1,1,4,4,8,100,100,10,2000,block-id,1,0.991750,171.583295,1.082301,146.527141,163.445830,29.660583,1.094341,40.000000,25000,25000.000000,25000,1.000000,31.579971,31.778812,346.940756,5764.672977
45513.master_ubss1,HNSW-E,hnsw-shard-mpi,4,1,1,4,4,8,150,100,10,2000,block-id,0,0.992200,164.855242,0.916839,146.681488,157.477260,19.031405,1.111746,40.000000,25000,25000.000000,25000,1.000000,4596.352577,4761.338234,333.700657,5993.395454
45514.master_ubss1,HNSW-E,hnsw-shard-mpi,4,1,1,4,4,8,150,100,10,2000,block-id,1,0.992200,164.697528,1.066089,147.401869,156.760693,9.969115,1.176476,40.000000,25000,25000.000000,25000,1.000000,32.751679,34.640074,333.212614,6002.173734
45515.master_ubss1,HNSW-E,hnsw-shard-mpi,4,1,1,4,4,8,150,100,10,2000,block-id,1,0.992200,168.997526,0.953555,146.614283,160.850644,18.551946,1.127720,40.000000,25000,25000.000000,25000,1.000000,31.833529,33.098936,341.885805,5849.906518
45516.master_ubss1,HNSW-E,hnsw-shard-mpi,4,1,1,4,4,16,100,100,10,2000,block-id,0,0.998100,229.916930,1.235843,206.984490,220.629930,34.382343,1.166701,40.000000,25000,25000.000000,25000,1.000000,4386.071801,4482.631207,464.047670,4309.902037
45517.master_ubss1,HNSW-E,hnsw-shard-mpi,4,1,1,4,4,16,100,100,10,2000,block-id,1,0.998100,220.049977,1.505375,196.103096,209.807158,9.725332,1.221538,40.000000,25000,25000.000000,25000,1.000000,31.705141,32.279491,444.187403,4502.604053
